label,BRCA1,BRCA2,TP53,PIK3CA,CDH1,PTEN,AKT1,MYC,CCND1,ERBB2,ESR1,PGR,MKI67,KRAS,EGFR,VEGFA,MMP9,CDKN2A,STAT3,JAK2
Cancer,-0.9886,-0.103,-1.7982,-0.0328,3.5608,0.2766,0.8566,-2.1621,-0.5367,5.1215,3.4483,-2.4692,-1.1127,-0.0605,-2.4432,-0.6332,-0.758,0.0005,0.4412,-0.8818
Cancer,-1.2858,-0.5772,0.3543,0.2618,1.1785,0.9054,0.5021,-0.5723,0.7311,1.9638,3.7434,0.1187,-1.384,-0.1128,-2.902,-0.9662,-2.1748,0.8175,1.1939,0.6738
Cancer,-2.1408,-1.7162,-0.2448,0.5815,2.4625,0.1974,-0.3532,-1.3426,0.0868,2.075,4.5316,2.0257,-3.0173,0.6712,-1.5896,-0.9212,-4.7338,0.3858,1.5608,0.4708
Cancer,-1.3907,-0.2158,-1.0315,-0.1115,1.6593,0.6651,-0.111,0.3497,-1.7291,4.1622,-3.5901,-2.2395,-1.8638,-0.4649,2.0377,2.1915,0.904,-1.0202,0.6917,-1.028
Cancer,-2.1092,-1.0495,-0.1097,0.559,0.0281,1.1904,0.124,-0.7559,0.8559,1.4602,3.8335,-1.7047,-2.9012,-0.0282,-0.2003,-1.1781,-4.9738,0.4879,1.0925,0.9632
Cancer,-1.7203,-1.4162,0.017,0.7072,-0.0052,1.5636,-0.5392,-0.1661,-0.0112,1.2122,2.3806,3.5318,-2.2682,-0.2875,0.1217,-1.7443,-4.0595,-0.0037,0.6671,1.0107
Cancer,-1.5857,-0.2035,-0.3963,0.4315,1.1147,0.4567,-0.5604,0.2816,-1.9338,1.2971,-2.9201,-2.6917,-0.2758,0.95,0.7173,-1.0347,2.768,0.9451,0.7371,-0.4578
Cancer,-1.0469,-0.747,-0.2085,0.1772,3.168,0.4205,-0.0939,-1.8498,0.4423,1.4485,3.8774,-1.926,-1.1282,0.6369,-2.604,-1.7047,-3.5132,0.9687,-0.1748,-0.753
Cancer,-0.7565,-1.971,-0.388,1.3638,2.2547,0.6209,-0.5238,-0.1362,0.6148,2.9546,4.6286,3.3445,-1.879,0.6828,-3.0465,0.2852,-4.4765,1.4174,0.9656,-0.4775
Cancer,-0.6191,-3.6028,0.4437,0.6102,1.4847,0.0466,-0.2168,-0.7358,-2.8012,1.8925,-1.1024,-2.5425,-0.5148,0.7399,0.0564,0.4319,-2.065,0.9641,1.0347,0.0012
Cancer,-2.3137,-2.5625,-0.7355,0.1952,1.1227,1.5723,-0.4851,-2.1877,-0.8268,2.1609,4.6528,-0.0748,-3.1352,0.2455,-1.0284,-2.0897,-3.4028,0.6098,0.09,0.7248
Cancer,-1.5147,-1.965,0.0753,-0.514,2.0121,0.6247,0.223,-2.4037,0.4732,2.8004,5.4676,3.507,-2.3612,-0.7278,-2.652,-1.5102,-4.2592,0.1202,1.2644,-0.2232
